"","dictionaryID","cancerInstituteName","sourceName","localDictID","elementUsageNotes"
"37","DE335","CSize","Size","CRC014","
The reporting standard for the size of solid tumours is:

?Breast cancer or other solid neoplasms - the largest tumour dimension, measured to a precision of 1mm
?Round to the nearest millimetre, rounding up if size is ? .5 mm (e.g. 1.50mm, 1.54mm recorded as 2mm, 1.47mm recorded as 1mm).
General coding rules:

Recorded size:

?Only record measured size if stated, otherwise record size as unknown. Do not attempt to estimate size from descriptions of the tumour, such as 'tumour occupying three quarters of tissue'
?Do not take values for size from sources other than histopathology (such as imaging, mammography or clinical examination).
Size reported for multiple specimens:

?If tumour is removed in more than one procedure (e.g. biopsy and excision, local excision and re-excision) do not sum the sizes across multiple pathology reports but rather use the larger of the measured sizes from the separate pathology reports
?If tumour is divided into several parts (in the same pathology report), do not sum sizes together but rather use the larger of the measured sizes. However, if the pathologist states an aggregate or composite size, record that size.
Multifocal tumour:
?If the tumour is multifocal, record the size of the largest measured focus. Do not attempt to sum sizes of different foci.
Macroscopic size:
?If only macroscopic size is given, record this value
?If the macroscopic and microscopic measurements differ, the microscopic measurement should be recorded.

Exclusions:
?Size is not recorded for Phyllodes tumours, sarcomas, or lymphomas.
Invasive breast cancer coding rules:
Note: These rules are to be used only when the record pertains to an invasive breast cancer (as per Person with cancer-primary site of cancer, topography code (ICD-O-3) ANN.N.
Invasive tumours with an in situ component:
?When an invasive tumour contains an in situ component, only record the size of the invasive component as stated
?If the size of the invasive tumour is not recorded separately to the in situ component, then record the total size of the tumour without any attempt to estimate the invasive component using percentage or size of the in situ component.
Microinvasive tumour:
?For microinvasive tumours, record size in millimetres if stated. If microinvasion is stated but no size is recorded, enter 990 in size field to enable these very small tumours to be differentiated from other tumours without measured sizes.
Bilateral breasts tumours:
?Bilateral tumours are recorded as two separate primary tumours each having their own size (and other data elements). 
Multifocal tumours with different morphology: 
?Foci with different morphology should be considered to be separate primary tumours each having their own size (and other data elements). The coder needs to ascertain whether two foci with differing morphology are separate primaries with different morphology or a single multifocal primary with a mixed histology. In the latter case the rule of taking the size from the larger focus would apply as stated."
"38","DE323","CThickness","Thickness","CRC013","The reporting standard for the thickness of melanoma is: 

Primary cutaneous melanoma - the depth of penetration of tumour cells below the basal layer of the skin; measured to a precision of 0.01mm.

Size in millimetres - valid values are: 000.01 to 997.99
"
"39","DE425","ABSDeathCauseCode","ABSDeathCauseCode","notAvailable",NA
"40","DE517","ABSDeathCauseCode","ABSDeathCauseCode","notAvailable",NA
"41","DE518","AccommTypeId","AccommTypeId","notAvailable",NA
"42","DE404","ActualDose","ActualDose","notAvailable",NA
"43","DE426","ActualFractions","ActualFractions","notAvailable",NA
"44","DE341","CAdjacentDCISNotification","AdjacentDCIS","NOTU008","This data item is for invasive cancer only"
"45","DE556","CBestBasisRecurrenceID","BestBasisRecurrenceId","CRE019","CODES 1 - 4

Non-microscopic.

CODES 5 - 8

Microscopic.


In a hospital setting this metadata item should be collected on the most valid basis of diagnosis at this admission. If more than one diagnosis technique is used during an admission, select the higher code from 1 to 8."
"46","DE140","CBestDiagnosisBasisIDNotification","BestBasisOfDiagnosisId","NOT104","
CODE 2 Clinical investigation: diagnostic procedure code(s) only. No further information has been sighted by the Clinical Cancer Registry program.

CODE 67 Clinical: Determined by Cancer Information Manager 
Clinical diagnostic information has been sighted by the Clinical team and the Cancer Information Manager has determined the best basis of diagnosis available based on the evidence. This may include, but is not limited to, clinical notes, test results, images, and letters. This indicates a 'higher level of evidence' has been sighted than Code 2, procedure codes only.
CODE 66 Histopathology sighted by Central team:
Histopathology information has been sighted by the Central team and the coder has determined the best basis of diagnosis on the available evidence. This indicates a higher level of evidence has been sighted than Codes 6, 7 and 8. 
General comments:
The most valid basis of diagnosis may be the initial histological examination of the primary site, or it may be the post-mortem examination (sometimes corrected even at this point when histological results become available). In a cancer registry setting, this metadata item should be revised if later information allows its upgrading.

When considering the most valid basis of diagnosis, the minimum requirement of a cancer registry is differentiation between neoplasms that are verified microscopically and those that are not. To exclude the latter group means losing valuable information; the feasibility of making a morphological (histological) diagnosis is dependent upon a variety of factors, such as the health and age of the patient, accessibility of the tumour, availability of medical services, and the beliefs and decisions of the patient.

A biopsy of the primary tumour should be distinguished from a biopsy of a metastasis, for example, at laparotomy; a biopsy of cancer of the head of the pancreas versus a biopsy of a metastasis in the mesentery. However, when insufficient information is available, Code 8 should be used for any histological diagnosis. Cytological and histological diagnoses should be distinguished. 

Morphological confirmation of the clinical diagnosis of malignancy depends on the successful removal of a piece of tissue that is cancerous. Especially when using endoscopic procedures (bronchoscopy, gastroscopy, laparoscopy, etc.), the clinician may miss the tumour with the biopsy forceps. These cases must be registered on the basis of endoscopic diagnosis and not excluded through lack of a morphological diagnosis. 

Care must be taken in the interpretation and subsequent coding of autopsy findings, which may vary as follows: 

a) the post-mortem report includes the post-mortem histological diagnosis (in which case, one of the histology codes should be recorded instead);

b) the autopsy is macroscopic only, histological investigations having been carried out only during life (in which case, one of the histology codes should be recorded instead); 

c) the autopsy findings are not supported by any histological diagnosis.
"
"47","DE371","CBestRecurenceBasisID","Basis at diagnosis at recurrence","notAvailable",NA
"48","DE172","CBestRecurrenceBasisIDNotification","BestBasisOfRecurrenceId","NOT133","CODE 67 Clinical: Determined by Cancer Information Manager 
Clinical diagnostic information has been sighted by the Clinical team and the Cancer Information Manager has determined the best basis of recurrence available based on the evidence. This may include, but is not limited to, clinical notes, test results, images, and letters. This indicates a 'higher level of evidence' has been sighted than Code 2, procedure codes only.
CODE 66 Histopathology sighted by Central team:
Histopathology information has been sighted by the Central team and the coder has determined the best basis of recurrence on the available evidence. This indicates a higher level of evidence has been sighted than Codes 6, 7 and 8.  
CODES 1 - 4
Non-microscopic.

CODES 5 - 8

Microscopic.

In a hospital setting this metadata item should be collected on the most valid basis of diagnosis at this admission. If more than one diagnosis technique is used during an admission, select the higher code from 1 to 8."
"49","DE344","CBreastDateLastContactNotification","BreastDateLastContact","NOTU011","This data item is for both invasive breast cancer and in situ lesions.

Date of last contact must be:
? Greater than date of diagnosis
? Less than or equal to date of death"
"50","DE343","CBreastSiteDistantMetsNotification","BreastSiteDistantMets","NOTU010","This data item is for invasive cancer only."
"51","DE345","CBreastStatusLastContactNotification","BreastStatusLastContact","NOTU012","Code the most advanced recurrence if more than one applies

This data item is for both invasive cancer and in situ lesions"
"52","DE289","CBreastTumourCellsDiameterNotification","ClinicalSize","NOTB002","Tumour size is a significant prognostic variable; the risk of local recurrence and lymph node involvement increases with tumour size; practical limits exist for the size of tumours that can be successfully excised using breast-conserving surgery."
"53","DE201","CCancerSiteCodeID","CancerSiteCodeId","CRC002","Record the primary site of cancer, if known, for patients who have been diagnosed with cancer. 

The primary site of cancer is recorded using ICD-10-AM by hospitals and NSWCRs' LHD-based clinical team, in line with hospital coding policies. The primary site of cancer is recorded using ICD-O-3 by Private hospitals using the online form facility in the Secure Cancer Notification Portal. Mandatory notifications to the NSW Cancer Registries are coded using ICD-O-3.

When the primary site is unknown, record C80.9."
"54","DE68","CCancerSiteCodeIDNotification","CancerSiteCodeId","NOT101","Record the primary site of cancer, if known, for patients who have been diagnosed with cancer. 

The primary site of cancer is recorded using ICD-10-AM by hospitals and NSWCRs' LHD-based clinical team, in line with hospital coding policies. The primary site of cancer is recorded using ICD-O-3 by Private hospitals using the online form facility in the Secure Cancer Notification Portal. Mandatory notifications to the NSW Cancer Registries are coded using ICD-O-3.

When the primary site is unknown, record C80.9."
"55","DE257","CClassOfCaseID","ClassOfCaseId","CRC007","
Class 1 Patients diagnosed at the notifying facility within NSW or ACT, and all or part of the initial treatment was performed at this facility. This includes patients who were diagnosed at the notifying facility but had no treatment.  
Class 2 Patients diagnosed outside NSW or ACT, and all or part of the first course of treatment was performed at the notifying facility within NSW or ACT. This includes patients who were diagnosed outside  of NSW or ACT but are on active surveillance within a NSW or ACT notifying facility
Class 3 Patients diagnosed outside NSW or ACT and all or part of the initial treatment was performed at a facility outside NSW or ACT. Presents at the accessioning facility with recurrence or persistent disease. This includes patients treated at the notifying facility for whom no information on the initial treatment is available and patients treated for recurrence, or progression for a previously diagnosed malignancy.
Class 4 Patients diagnosed at the notifying facility within NSW or ACT, and then referred for all or part of the initial treatment to a facility outside of NSW or ACT. This includes patients who were referred for treatment but it is unknown if this treatment was received.  
Examples:
1 Patient is admitted with haemoptysis and investigations reveal a right upper lobe mass. A biopsy is positive for adenocarcinoma. The patient undergoes surgery followed by radiation therapy at same facility.
1 Patient dies at home in NSW or ACT, but autopsy performed at notifying facility in NSW or ACT.  No previous knowledge or suspicion of cancer.
2 Patient was diagnosed and had surgery at a facility in Qld for primary breast cancer. The patient then attends a NSW or ACT facility for XRT.
3 Patient was diagnosed and treated for primary lung cancer two years prior to admission. Patient is then admitted to your facility for treatment for recurrent lung cancer.
4 Patient is admitted to the notifying facility after falling, and receives a CT and MRI of the brain. Results are positive for multiple metastatic deposits in the brain. CT of the lung shows 4 cm mass in the right upper lung. The patient is discharged to a hospital in Victoria for treatment with a diagnosis of lung cancer with metastasis to the brain.
"
"56","DE142","CClassOfCaseIDNotification","ClassOfCaseID","NOT106","
Class 1 Patients diagnosed at the notifying facility within NSW or ACT, and all or part of the initial treatment was performed at this facility. This includes patients who were diagnosed at the notifying facility but had no treatment.  
Class 2 Patients diagnosed outside NSW or ACT, and all or part of the first course of treatment was performed at the notifying facility within NSW or ACT. This includes patients who were diagnosed outside  of NSW or ACT but are on active surveillance within a NSW or ACT notifying facility
Class 3 Patients diagnosed outside NSW or ACT and all or part of the initial treatment was performed at a facility outside NSW or ACT. Presents at the accessioning facility with recurrence or persistent disease. This includes patients treated at the notifying facility for whom no information on the initial treatment is available and patients treated for recurrence, or progression for a previously diagnosed malignancy.
Class 4 Patients diagnosed at the notifying facility within NSW or ACT, and then referred for all or part of the initial treatment to a facility outside of NSW or ACT. This includes patients who were referred for treatment but it is unknown if this treatment was received.
  
Examples:
1 Patient is admitted with haemoptysis and investigations reveal a right upper lobe mass. A biopsy is positive for adenocarcinoma. The patient undergoes surgery followed by radiation therapy at same facility.
1 Patient dies at home in NSW or ACT, but autopsy performed at notifying facility in NSW or ACT.  No previous knowledge or suspicion of cancer.
2 Patient was diagnosed and had surgery at a facility in Qld for primary breast cancer. The patient then attends a NSW or ACT facility for XRT.
3 Patient was diagnosed and treated for primary lung cancer two years prior to admission. Patient is then admitted to your facility for treatment for recurrent lung cancer.
4 Patient is admitted to the notifying facility after falling, and receives a CT and MRI of the brain. Results are positive for multiple metastatic deposits in the brain. CT of the lung shows 4 cm mass in the right upper lung. The patient is discharged to a hospital in Victoria for treatment with a diagnosis of lung cancer with metastasis to the brain.
"
"57","DE405","CClinicalCancerSiteCodeID","ClinicalCancerSiteCodeId","notAvailable",NA
"58","DE309","CColorectalTumourDimensionsNotification","ClinicalSize","NOTC002","
The reporting standard for the size of solid tumours is:

?Breast cancer or other solid neoplasms - the largest tumour dimension, measured to a precision of 1mm
?Round to the nearest millimetre, rounding up if size is ? .5 mm (e.g. 1.50mm, 1.54mm recorded as 2mm, 1.47mm recorded as 1mm).
General coding rules:

Recorded size:

?Only record measured size if stated, otherwise record size as unknown. Do not attempt to estimate size from descriptions of the tumour, such as 'tumour occupying three quarters of tissue'
?Do not take values for size from sources other than histopathology (such as imaging, mammography or clinical examination).
Size reported for multiple specimens:

?If tumour is removed in more than one procedure (e.g. biopsy and excision, local excision and re-excision) do not sum the sizes across multiple pathology reports but rather use the larger of the measured sizes from the separate pathology reports
?If tumour is divided into several parts (in the same pathology report), do not sum sizes together but rather use the larger of the measured sizes. However, if the pathologist states an aggregate or composite size, record that size.
Multifocal tumour:
?If the tumour is multifocal, record the size of the largest measured focus. Do not attempt to sum sizes of different foci.
Macroscopic size:
?If only macroscopic size is given, record this value
?If the macroscopic and microscopic measurements differ, the microscopic measurement should be recorded.
Exclusions:
?Size is not recorded for Phyllodes tumours, sarcomas, or lymphomas.
Invasive breast cancer coding rules:
Note: These rules are to be used only when the record pertains to an invasive breast cancer (as per Person with cancer-primary site of cancer, topography code (ICD-O-3) ANN.N.
Invasive tumours with an in situ component:
?When an invasive tumour contains an in situ component, only record the size of the invasive component as stated
?If the size of the invasive tumour is not recorded separately to the in situ component, then record the total size of the tumour without any attempt to estimate the invasive component using percentage or size of the in situ component.
Microinvasive tumour:
?For microinvasive tumours, record size in millimetres if stated. If microinvasion is stated but no size is recorded, enter 990 in size field to enable these very small tumours to be differentiated from other tumours without measured sizes.
Bilateral breasts tumours:
?Bilateral tumours are recorded as two separate primary tumours each having their own size (and other data elements). 
Multifocal tumours with different morphology: 
?Foci with different morphology should be considered to be separate primary tumours each having their own size (and other data elements). The coder needs to ascertain whether two foci with differing morphology are separate primaries with different morphology or a single multifocal primary with a mixed histology. In the latter case the rule of taking the size from the larger focus would apply as stated."
"59","DE348","CCRCRecurrDateNotification","CRCRecurrDate","NOTU014","
Record the date the first recurrence of cancer is diagnosed.

The term recurrence defines the return, reappearance or metastasis of cancer (of the same histology) after a disease free period. 

The date is based on the most definitive diagnostic information available and ideally should correspond to the date of the investigation recorded in data element Person with cancer-most valid basis of diagnosis of the first recurrence. For instance, record the date of the first histological or if unavailable, cytological investigation confirming the diagnosis of recurrence. If these investigations have not been performed, record the date of confirmation by clinical investigation.

This information should be obtained from the patient's medical record. In the first instance, the diagnosis date should be derived from the relevant investigation report; for example, tissue diagnosis from the pathology report and imaging from the imaging reports. 

If the diagnosis is made on the basis of clinical examination, record the date this is performed. For example, this may be the date of a consultation, an outpatient appointment or the date the patient is admitted to hospital.

If the patient was diagnosed by clinical examination and/or investigations performed elsewhere, the date may be found in a letter of referral from a recognised medical practitioner or dentist. Usually the relevant test result, if applicable, will be attached to this.

In some cases, the date the patient states they were diagnosed with recurrence will be the only date available and should be recorded here. For example, the patient may have been diagnosed whilst overseas.

If components of the date are not known, an estimate should be provided where possible with an estimated date flag to indicate that it is estimated. If an estimated date is not possible, a standard date of 15 June 1900 should be used with a flag to indicate the date is not known.
"
"60","DE347","CCRCRecurrSiteNotification","CRCRecurrSite","NOTU013","The term recurrence refers to the return or reappearance of a primary cancer after a disease-free intermission or remission. The cancer may recur in more than one site (e.g. both locally or as distant metastases). This is the guide for use for the values relating to degree of spread"
"61","DE339","CDateOfDistantMetastisisDiagnosisNotification","DateDiagMets","NOTU006","This data item is for invasive cancer only"
"62","DE357","CDegreeOfSpreadClinicalID","DegreeOfSpreadClinicalId","CRC016",NA
"63","DE536","CDiagnosisClass","Diagnosis class","notAvailable",NA
"64","DE190","CDiagnosisDate","DateOfDiagnosis","CRC001","Use the first date of diagnosis whether clinically or histologically confirmed. If the clinician states that in retrospect the patient had cancer at an earlier date, then use the earlier date as the date of diagnosis. 

When the only information available is a positive pathology or cytology report, code the date the biopsy was done, not the date the report was dictated or transcribed. 

The first diagnosis of cancer may be clinical (i.e. based on physical exam, scans or laboratory results for hematopoietic malignancies). Do not change the date of diagnosis when a clinical diagnosis is confirmed later by positive histology or cytology. Example: On May 15, 2007, the clinician states that the patient has lung cancer based on clinical findings. The patient has a positive biopsy of the lung in June 3, 2007. The date of diagnosis remains May 15, 2007.

Date of diagnosis must be:

-Greater than or equal to date of birth
-Less than or equal to date of death

Diagnosis of cancer after death: 

If the patient is first diagnosed with the cancer in an autopsy report the date of diagnosis is the date of death as stated on the patient's death certificate.

Incidental diagnosis of cancer: 

a) If a patient is admitted for another condition (for example a broken leg or pregnancy), and a cancer is diagnosed incidentally then the date of diagnosis is the date the cancer was diagnostically determined, not the admission date.
b)ÿIf the patient receives first course treatment and there is no information about the date of diagnosis, use the date of admission as the date of diagnosis.
c)ÿIf the patient receives first course of treatment and there is no information about the date of diagnosis nor is there an admission date, code the date of first treatment as the date of diagnosis.

Unknown or estimated dates
If only the year is known, then Date of Diagnosis = 1/1/year and Date-accuracy indicator = 4
If the month and year are known but not the day, then Date of Diagnosis = 1/month/year and Date-accuracy indicator = 3
If the day, month and year are unknown, then Date of Diagnosis = 1/1/1999 and Date-accuracy indicator = 2
"
"65","DE445","CDiagnosisDateNotification","DateOfDiagnosis","NOT100","
Use the first date of diagnosis whether clinically or histologically confirmed. If the clinician states that in retrospect the patient had cancer at an earlier date, then use the earlier date as the date of diagnosis. 

When the only information available is a positive pathology or cytology report, code the date the biopsy was done, not the date the report was dictated or transcribed. 

The first diagnosis of cancer may be clinical (i.e. based on physical exam, scans or laboratory results for hematopoietic malignancies). Do not change the date of diagnosis when a clinical diagnosis is confirmed later by positive histology or cytology. Example: On May 15, 2007, the clinician states that the patient has lung cancer based on clinical findings. The patient has a positive biopsy of the lung in June 3, 2007. The date of diagnosis remains May 15, 2007.

Date of diagnosis must be:

-Greater than or equal to date of birth
-Less than or equal to date of death

Diagnosis of cancer after death: 

If the patient is first diagnosed with the cancer in an autopsy report the date of diagnosis is the date of death as stated on the patient's death certificate.

Incidental diagnosis of cancer: 

a) If a patient is admitted for another condition (for example a broken leg or pregnancy), and a cancer is diagnosed incidentally then the date of diagnosis is the date the cancer was diagnostically determined, not the admission date.
b)ÿIf the patient receives first course treatment and there is no information about the date of diagnosis, use the date of admission as the date of diagnosis.
c)ÿIf the patient receives first course of treatment and there is no information about the date of diagnosis nor is there an admission date, code the date of first treatment as the date of diagnosis.

Unknown or estimated dates
If only the year is known, then Date of Diagnosis = 1/1/year and Date-accuracy indicator = 4
If the month and year are known but not the day, then Date of Diagnosis = 1/month/year and Date-accuracy indicator = 3
If the day, month and year are unknown, then Date of Diagnosis = 1/1/1999 and Date-accuracy indicator = 2
"
"66","DE181","CDiagnosisDateValidityCodeNotification","DateOfDiagnosisValidityCode","NOT141",NA
