Dictionary ID,In Landing,Cancer Institute Name,Cancer Institute Category,Definition,Type,Null values permitted,Accepted Values
DE196,1,CFirstCancerConsultationDateNotification,Case,"The date of the first consultation between a person with cancer and the cancer specialist (oncologist, haematologist or surgeon) during this course of treatment.",Date,1.0,DDMMYYYY
DE409,1,CGleasonRadicalID,Case,,Integer,1.0,Code
DE330,1,CGleasonRadicalIDNotification,Case,"
1+1=2
1+2=3
1+3=4
1+4=5
1+5=6
2+1=3
2+2=4
2+3=5
2+4=6
2+5=7
3+1=4
3+2=5
3+3=6
3+4=7
3+5=8
4+1=5
4+2=6
4+3=7
4+4=8
4+5=9
5+1=6
5+2=7
5+3=8
5+4=9
5+5=10
n+n=10
n+n=2
n+n=3
n+n=4
n+n=5
n+n=6
n+n=7
n+n=8
n+n=9
Unknown",Integer,1.0,Code
DE366,1,CGroupID,Case,Identifier that allows multiple rows to be grouped into one report,,,
DE279,1,CHaematologyCellTypeID ,Case,"The specific presentation of a lymphoid neoplasm, as represented by a code.",Integer,1.0,Code
DE144,1,CHaematologyCellTypeIDNotification,Case,"The specific presentation of a lymphoid neoplasm, as represented by a code.",Integer,1.0,Code
DE410,1,CHER2StatusID,Case,,Integer,1.0,Code
DE302,1,CHER2StatusIDNotification,Case,"The result of a person's human epidermal growth factor receptor-2 (HER2) test, as
represented by a code.",Integer,1.0,Code
DE303,1,CHER2TestIDNotification,Case,"The type of test used to determine the results of human epidermal growth factor receptor-2 (HER2) at the time of diagnosis of the primary tumour, as represented by a code.",Integer,1.0,Code
DE268,1,CHistoPathologicalGradeID,Case,"The histopathological grade or differentiation in a person with cancer, as represented by a code.",Integer,1.0,Code
DE143,1,CHistoPathologicalGradeIDNotification,Case,"The histopathological grade or differentiation in a person with cancer, as represented by a code.",Integer,1.0,Code
DE383,0,CICD03MorphologyCode3Digit,Case,"Derived from NSWCR source system CRC002, CRC003",,,
DE384,0,CICD03MorphologyCode4Digit,Case,"Derived from NSWCR source system CRC002, CRC003",,,
DE381,0,CICD03TopographyCode,Case,Derived from NSWCR source system CRC002. ,,,
DE382,0,CICD10AMTopographyCode,Case,Derived from NSWCR source system CRC002. ,,,
DE278,1,CICDCodes,Case,Additional diagnosis,varchar(80),1.0,ICD Code
DE411,1,CInvasiveTumoursCount,Case,,Integer,1.0,Code
DE304,1,CInvasiveTumoursCountNotification,Case,"The number of invasive tumours in one breast, as represented by a code.",Integer,1.0,Code
DE105,1,CLastPatientContactDate,Case,"The date of last contact with the patient, expressed as DDMMYYYY.",Date,1.0,DDMMYYYY
DE134,1,CLastPatientContactDateNotification,Case,"The date of last contact with the patient, expressed as DDMMYYYY.",Date,1.0,DDMMYYYY
DE224,1,CLaterality,Case,"The side of a paired organ or the side of the body that is the origin of the primary cancer in a person with cancer, as represented by a code.",varchar(1),1.0,Code
DE139,1,CLateralityNotification,Case,"The side of a paired organ or the side of the body that is the origin of the primary cancer in a person with cancer, as represented by a code.",varchar(1),1.0,Code
DE427,1,ClinicalSize,Needs category,,Float,1.0,Numeric Value (NNN.NN)
DE428,1,ClinicalSize,Needs category,,Float,1.0,Numeric Value (NNN.NN)
DE294,1,CLymphovascularInvasionIdNotification,Case,"The presence or absence of the invasion of cancer cells into blood vessel(s) and/or the lymphatic system, as represented by a code.",Integer,1.0,Code
DE326,1,CLymphovascularInvasionIDNotification,Case,"The presence or absence of the invasion of cancer cells into blood vessel(s) and/or the lymphatic system, as represented by a code.",Integer,1.0,Code
DE557,1,CMDTConsultationDate,Case,"The date of first consultation with a multidisciplinary team of health professionals regarding the diagnosis, treatment and care of the person with cancer.",Date,1.0,DDMMYYYY
DE173,1,CMDTConsultationDateNotification,Case,"The date of first consultation with a multidisciplinary team of health professionals regarding the diagnosis, treatment and care of the person with cancer.",Date,1.0,DDMMYYYY
DE413,1,CMMRDStatusID ,Case,,Integer,1.0,Code
DE322,1,CMMRDStatusIDNotification,Case,"The result of Mismatch Repair Enzyme Testing, as represented by a code. ",Integer,1.0,Code
DE212,1,CMorphologyCodeID,Case,"The histological classification of the cancer tissue (histopathological type) in a person with cancer, and a description of the course of development that a tumour is likely to take: benign or malignant (behaviour), as represented by a code.",Integer,1.0,Code
DE35,1,CMorphologyCodeIDNotification,Case,"The histological classification of the cancer tissue (histopathological type) in a person with cancer, and a description of the course of development that a tumour is likely to take: benign or malignant (behaviour), as represented by a code.",Integer,1.0,Morphology ICD Code such as ANNNN/N OR NNNNN
DE364,1,CMorphologyCodeIDVersionNotification,Case,,,,
DE370,1,CMorphologyCodeVersion,Case,Version number of ICD03 reference used to classify the morphology of the tumour,,,
DE423,1,CMStage2ID,Case,"The absence or presence of distant metastasis in a person with cancer, as represented by a code.",Integer,1.0,Code
DE522,1,CMStageID  ,Case,"The absence or presence of distant metastasis in a person with cancer, as represented by a code.",Integer,1.0,Code
DE158,1,CMStageIDNotication,Case,"The absence or presence of distant metastasis in a person with cancer, as represented by a code.",Integer,1.0,M Stage Code
DE434,1,CMStagingBasis2ID,Case,"The evidence basis for the M stage value for a cancer, as represented by a code.",Integer,1.0,Code
DE523,1,CMStagingBasisID ,Case,"The evidence basis for the M stage value for a cancer, as represented by a code.",Integer,1.0,Code
DE159,1,CMStagingBasisIDNotification,Case,"The evidence basis for the M stage value for a cancer, as represented by a code.",Integer,1.0,Staging Basis Code
DE414,1,CNecrosisID  ,Case,,Integer,1.0,Code
DE306,1,CNecrosisIDNotification,Case,,Integer,1.0,Code
DE527,1,CNonTNMStagingValuesDate,Case,The date of non-TNM staging values for cancer.,Date,1.0,DDMMYYYY
DE163,1,CNonTNMStagingValuesDateNotification,Case,The date of non-TNM staging values for cancer.,Date,1.0,DDMMYYYY
DE401,1,CNStage2ID,Case,"The absence or presence and extent of regional lymph node metastasis in a person with cancer, as represented by a code.",Integer,1.0,Code
DE501,1,CNStageID ,Case,"The absence or presence and extent of regional lymph node metastasis in a person with cancer, as represented by a code.",Integer,1.0,Code
DE155,1,CNStageIDNotification,Case,"The absence or presence and extent of regional lymph node metastasis in a person with cancer, as represented by a code.",Integer,1.0,N Stage Code
DE412,1,CNStagingBasis2ID,Case,"The evidence basis for the N stage value for a cancer, as represented by a code.",Integer,1.0,Code
DE512,1,CNStagingBasisID,Case,"The evidence basis for the N stage value for a cancer, as represented by a code.",Integer,1.0,Code
DE156,1,CNStagingBasisIDNotification,Case,"The evidence basis for the N stage value for a cancer, as represented by a code.",Integer,1.0,Staging Basis Code
DE530,1,COtherStagingBasisID ,Case,"The timing and evidence for cancer stage values, as represented by a code.",Integer,1.0,Code
DE166,1,COtherStagingBasisIDNotification,Case,"The timing and evidence for cancer stage values, as represented by a code.",Integer,1.0,Staging Basis Code
DE528,1,COtherStagingGroupingID,Case,"The reference which describes in detail the methods of staging and the definitions for the classification system used in determining the extent of cancer, as represented by a code.",Integer,1.0,Code
DE529,1,COtherStagingGroupingID,Case,"The anatomical extent of disease in a person with cancer based on stage categories of a staging classification other than the standard TNM classification, as represented by a code.",Integer,1.0,Code
DE551,1,COtherStagingGroupingID,Case,"The anatomical extent of disease in a person with cancer based on stage categories of a staging classification other than the standard TNM classification, as represented by a code.",Integer,1.0,Code
DE550,1,COtherStagingSchemeID,Case,"The reference which describes in detail the methods of staging and the definitions for the classification system used in determining the extent of cancer, as represented by a code.",Integer,1.0,Code
DE531,1,COtherStagingVersionID,Case,"The edition number or year of the cancer staging scheme used to determine the extent or stage of the cancer, as represented by a code.",Integer,1.0,Code
DE552,1,COtherStagingVersionID,Case,"The edition number or year of the cancer staging scheme used to determine the extent or stage of the cancer, as represented by a code.",Integer,1.0,Code
DE246,1,CPathologicalDiagnosisDate,Case,The date on which a diagnosis of cancer was first confirmed by pathological investigation. ,Date,1.0,DDMMYYYY
DE141,1,CPathologicalDiagnosisDateNotification,Case,The date on which a diagnosis of cancer was first confirmed by pathological investigation. ,Date,1.0,DDMMYYYY
DE559,1,CPerformanceStatusDate,Case,"The date on which the appraisal of the individual?s ability to manage activities of daily living was conducted.
",Date,1.0,DDMMYYYY
DE174,1,CPerformanceStatusDateNotification,Case,"The date on which the appraisal of the individual?s ability to manage activities of daily living was conducted.
",Date,1.0,DDMMYYYY
DE560,1,CPerformanceStatusID ,Case,"The result of the appraisal of the individual?s ability to manage activities of daily living, conducted at the time of diagnosis of cancer, as represented by a code.
",Integer,1.0,Code
DE175,1,CPerformanceStatusIDNotification,Case,"The result of the appraisal of the individual?s ability to manage activities of daily living, conducted at the time of diagnosis of cancer, as represented by a code.
",Integer,1.0,Code
DE321,1,CPerineuralInvasionID,Case,"An indication of whether perineural invasion was present , as represented by a code",Integer,1.0,Code
DE277,1,CPlaceOfResidenceAtTimeOfDiagnosisNotification,Case,The place the person usually resided in at the time of diagnosis.,Integer,1.0,Code
DE288,1,CPresentationBreastIDNotification,Case,Description of the principal method by which the cancer was detected at initial presentation. ,Integer,1.0,Code
DE308,1,CPresentationColorectalIDNotification,Case,"The presentation of the patient who has been admitted for a scheduled appointment/ surgery/ screening for bowel cancer, as represented by a code.",Integer,1.0,Code
DE179,1,CPrimarySiteCancerCodeVersionNotification,Case,,,,
DE27,1,CPrincipalFlag,Case,Indicates the main procedure the person with cancer was admitted for.,Boolean,1.0,Check - Yes; Uncheck - No
DE300,1,CPRStatusIdNotification,Case,"The results of progesterone receptor assay at the time or diagnosis of the primary breast tumour, as represented by a code.",Integer,1.0,Code
DE329,1,CPSAIDNotification,Case,,Float,1.0,Numeric Value (NNN.NN)
DE316,1,CReadmitReasonIDNotification,Case,The reason that a patient was readmitted to hospital following treatment for colorectal cancer.,Integer,1.0,Code
DE315,1,CReadmitWithin28DaysIDNotification,Case,"An indication of whether the patient was readmitted as an admitted patient within 28 days of last being admitted and, if so, whether the admission was to the facility reporting the current episode, or another facility, as represented by a code.
",Integer,1.0,Code
DE216,1,CReasonAdmitNotification,Case,,Integer,1.0,Code
DE16,1,CReasonForNoTreatmentId,Case,"The primary reason why no active cancer treatment is specified within a Cancer Care Plan, as represented by a code. ",Integer,1.0,Code
DE198,1,CReasonForNoTreatmentIDNotification,Case,"The primary reason why no active cancer treatment is specified within a Cancer Care Plan, as represented by a code. ",Integer,1.0,Code
DE415,1,CRectalLevelCancerID ,Case,,Integer,1.0,Code
DE320,1,CRectalLevelCancerIDNotification,Case,"The level of rectal cancer in relation to the anal verge, as represented by a code.",Integer,1.0,Code
DE553,1,CRecurrenceDate,Case,"The date on which a patient is diagnosed with the first recurrence of a cancer, expressed as DDMMYYYY.",Date,1.0,DDMMYYYY
DE169,1,CRecurrenceDateNotification,Case,"The date on which a patient is diagnosed with the first recurrence of a cancer, expressed as DDMMYYYY.",Date,1.0,DDMMYYYY
DE183,1,CRecurrenceDateValidityCodeNotification,Case,"An indicator of the accuracy of the components of a reported date, as represented by a code.",varchar(5),1.0,Code
DE554,1,CRecurrenceSiteID  ,Case,"The site of first recurrence of cancer in a person with cancer, after a disease-free period, as represented by a code.",Integer,1.0,Code
DE170,1,CRecurrenceSiteIDNotification,Case,"The site of first recurrence of cancer in a person with cancer, after a disease-free period, as represented by a code.",Integer,1.0,ICD-03 or ICD-10 Code
DE365,1,CRecurrenceSiteVersionNotification,Case,,,,
DE555,1,CRecurrenceTypeID ,Case,"The type of first recurrence of primary cancer after a disease free intermission or remission, as represented by a code.",Integer,1.0,Code
DE171,1,CRecurrenceTypeIDNotification,Case,"The type of first recurrence of primary cancer after a disease free intermission or remission, as represented by a code.",Integer,1.0,Code
DE10,1,CReferralDate,Case,"The date that a person with cancer was referred to a cancer specialist (oncologist, haematologist or surgeon). ",Date,1.0,DDMMYYYY
DE195,1,CReferralDateNotification,Case,"The date that a person with cancer was referred to a cancer specialist (oncologist, haematologist or surgeon). ",Date,1.0,DDMMYYYY
DE561,1,CReferralToPalliativeCareDate,Case,"The date a person with cancer was referred to a palliative care physician or team during their course of treatment.
",Date,1.0,DDMMYYYY
DE176,1,CReferralToPalliativeCareDateNotification,Case,"The date a person with cancer was referred to a palliative care physician or team during their course of treatment.
",Date,1.0,DDMMYYYY
DE295,1,CRegionalNodesExaminedCountNotification,Case,Theÿtotal number of regional lymph nodes examined byÿa pathologistÿinÿa person with cancer.,Integer,1.0,Numeric Value
DE324,1,CRegionalNodesExaminedCountNotification_d,Case,Theÿtotal number of regional lymph nodes examined byÿa pathologistÿinÿa person with cancer.,Integer,1.0,Numeric Value
DE296,1,CRegionalNodesPositiveCountNotification,Case,The total number of regional lymph nodes reported to contain tumour in a person with cancer.,Integer,1.0,Numeric Value
DE325,1,CRegionalNodesPositiveCountNotification_d,Case,The total number of regional lymph nodes reported to contain tumour in a person with cancer.,Integer,1.0,Numeric Value
DE318,1,CResectionMarginNotification,Case,"The distance from the tumour to the radial resection margin, measured in millimetres (mm).",Float,1.0,Numeric Value (NNN.NN)
DE317,1,CResidualTumourStatusIDNotification,Case,A code set describing whether residual tumour is present or absent after the initial course of treatment for cancer.,Integer,1.0,Code
DE331,1,CRiskStratificationIDNotification,Case,"1 ? Low Risk
2 ? Intermediate Risk
3 ? High Risk       
9 ? Unknown Risk
",Integer,1.0,Code
DE416,1,CSentinelNodesExaminedCount   ,Case,,Integer,1.0,Numeric Value
DE297,1,CSentinelNodesExaminedCountNotification,Case,The total number of a person's sentinel lymph nodes examined by the pathologist.,Integer,1.0,Numeric Value
DE298,1,CSentinelNodesPositiveCountNotification,Case,The total number of sentinel lymph nodes reported as containing tumour after examination by a pathologist.,Integer,1.0,Numeric Value
DE335,1,CSize,Case,"The largest dimension of a solid tumour, measured in millimetres.",Float,1.0,Numeric Value (NNN.NN)
DE149,1,CSizeNotification,Needs category,"The largest dimension of a solid tumour, measured in millimetres.",Float,1.0,Numeric Value (NNN.NN)
DE340,1,CSLNMethodNotification,Needs category,"The method used to identify the sentinel lymph node, as represented by a code.",varchar(50),1.0,Code
DE293,1,CSurgicalMarginInvolvementNotification,Case,"The extent of carcinoma in the surgical resection margin, in millimetres.",Float,1.0,Numeric Value (NNN.NN)
DE292,1,CSurgicalMarginNotification,Case,"The distance of the closest surgical margin from the invasive or in situ
carcinoma in millimetres (mm).",Float,1.0,Numeric Value (NNN.NN)
DE323,1,CThickness,Case,The measured thickness of a melanoma in millimetres.,Float,1.0,Numeric Value (NNN.NN)
DE182,1,CThicknessNotification,Needs category,The measured thickness of a melanoma in millimetres.,Float,1.0,Numeric Value (NNN.NN)
DE457,1,CTNMEditionNumber2ID,Case,"The edition number of the TNM staging scheme used to determine the extent or stage of the cancer, as represented by a code.",Integer,1.0,Code
DE526,1,CTNMEditionNumberID ,Case,"The edition number of the TNM staging scheme used to determine the extent or stage of the cancer, as represented by a code.",Integer,1.0,Code
DE162,1,CTNMEditionNumberIDNotification,Case,"The edition number of the TNM staging scheme used to determine the extent or stage of the cancer, as represented by a code.",Integer,1.0,Edition Code
DE368,1,CTNMStaging2Date,Case,The date of TNM staging values for cancer.,Date,1.0,DDMMYYYY
DE161,1,CTNMStagingBasisIdNotification,Case,"The timing and evidence for cancer stage values, as represented by a code.",Integer,1.0,Staging Basis Code
DE468,1,CTNMStagingDate,Case,The date of TNM staging values for cancer.,Date,1.0,DDMMYYYY
DE151,1,CTNMStagingDateNotification,Case,The date of TNM staging values for cancer.,Date,1.0,DDMMYYYY
DE446,1,CTNMStagingGrouping2ID,Case,"The anatomical extent of disease in a person with cancer based on the previously coded T, N and M stage categories, as represented by a code.",Integer,1.0,Code
DE524,1,CTNMStagingGroupingID ,Case,"The anatomical extent of disease in a person with cancer based on the previously coded T, N and M stage categories, as represented by a code.",Integer,1.0,Code
DE160,1,CTNMStagingGroupingIDNotification,Case,"The anatomical extent of disease in a person with cancer based on the previously coded T, N and M stage categories, as represented by a code.",Integer,1.0,TNM Stage Code
DE152,1,CTNMStagingTimingIDNotification,Case,An indictor of whether the staging was at diagnosis or not at diagnosis.,Integer,1.0,Code
DE305,1,CTotalExtentNotification,Case,The maximum diameter in millimetres of the furthest points of extension of the whole lesion including DCIS which extends beyond the invasive component,Float,1.0,Numeric Value (NNN.NN)
DE379,1,CTStage2ID,Case,"The size and extent of the primary tumour in a person with cancer, as represented by a code.",Integer,1.0,Code
DE479,1,CTStageID,Case,"The size and extent of the primary tumour in a person with cancer, as represented by a code.",Integer,1.0,Code
DE390,1,CTStagingBasis2ID,Case,"The evidence basis for the T stage value for a cancer, as represented by a code.",Integer,1.0,Code
DE490,1,CTStagingBasisID,Case,"The evidence basis for the T stage value for a cancer, as represented by a code.",Integer,1.0,Code
DE153,1,CTumourStageID,Case,"The size and extent of the primary tumour in a person with cancer, as represented by a code.",Integer,1.0,T Stage Code
DE154,1,CTumourStagingBasisIDNotification,Case,"The evidence basis for the T stage value for a cancer, as represented by a code.",Integer,1.0,Staging Basis Code
DE429,1,DateOfDeath,Needs category,,Date,1.0,DDMMYYYY
DE430,1,DateReceived,Needs category,,Date,1.0,DDMMYYYY
DE431,1,DCNumber,Needs category,,char(12),1.0,Code
DE432,1,DCStateID,Needs category,,Integer,1.0,Code
DE433,1,DCYear,Needs category,,char(4),1.0,YYYY
DE403,1,DeathCaseID,Needs category,,Integer,1.0,Numeric Value
DE435,1,DeathCauseText,Needs category,,varchar(4000),1.0,Alphanumeric Value
DE436,1,DegreeOfSpreadId,Needs category,,Integer,1.0,Code
DE437,1,DiseaseGradeSchemeId,Needs category,,Integer,1.0,Code
DE438,1,DiseaseGradeScore,Needs category,,Integer,1.0,Code
DE261,1,EActualRadiationDoseNotification,Episode,The received dose of radiation delivered to the Radiotherapy Site measured in the Radiation Dose Unit.,Float,1.0,Numeric Value (NNN.NN)
DE33,1,EAntiNeoplasticCyclesCount,Episode,The number of treatment cycles that an agent was administered in the course of treatment.,Integer,1.0,Numeric value
DE124,1,EAntiNeoplasticCyclesCountNotification,Episode,The number of treatment cycles that an agent was administered in the course of treatment.,Integer,1.0,Numeric Value
DE1,1,EAntineoPlasticIndicator,Episode,,,,
DE336,1,EAttemptSLNNotification,Needs category,Whether or not identification of sentinel lymph node attempted,varchar(15),1.0,Code
DE342,1,EBreastRTSiteNotification,Needs category,"The target site of radiotherapy administered during the initial course of treatment for breast cancer, as represented by a code.",varchar(50),1.0,Code
DE112,1,ECalculatedDose,Episode,,,,
DE28,1,ECancerProcedure,Episode,Indicates that the procedure code is cancer-related,Boolean,1.0,Check - Yes; Uncheck - No
DE215,1,ECancerProcedureNotification,Episode,Indicates that the procedure code is cancer-related,Boolean,1.0,"Check - Yes, cancer  procedure; Uncheck - No"
DE41,1,EChemotherapyEndDate,Episode,The date the chemotherapy regimen ended,Date,1.0,DDMMYYYY
DE222,1,EChemotherapyEndDateNotification,Episode,The date the chemotherapy regimen ended,Date,1.0,DDMMYYYY
DE40,1,EChemotherapyStartDate,Needs category,The date the chemotherapy regimen commenced,Date,1.0,DDMMYYYY
DE562,1,EClinicalTrialEnrolmentDate,Episode,"The date a person with cancer was enrolled in a clinical trial.
",Date,1.0,DDMMYYYY
DE177,1,EClinicalTrialEnrolmentDateNotification,Episode,"The date a person with cancer was enrolled in a clinical trial.
",Date,1.0,DDMMYYYY
DE332,1,EClinicalTrialEnrolmentStatusNotification,Episode,Whether or not the patient is/or is to be enrolled in a clinical trial as part of the anti-cancer treatment.,varchar(100),1.0,Code
DE563,1,EClinicalTrialName,Episode,The name of the clinical trial indicates which clinical trial the patient is enrolled in.,varchar(100),1.0,Alphanumeric Value
DE178,1,EClinicalTrialNameNotification,Episode,The name of the clinical trial indicates which clinical trial the patient is enrolled in.,varchar(100),1.0,Alphanumeric Value as documented in OMIS
DE333,1,EClinicalTrialRegistrationNumberNotification,Episode,The unique trial number recorded for the trial on the Australian Clinical Trials Registry.,varchar(40),1.0,Code
DE417,1,EColorectalEmergergencySurgeryID,Episode,,Integer,1.0,Code
DE311,1,EColorectalEmergergencySurgeryIDNotification,Episode,"The reason that emergency surgery was performed for colorectal cancer, as represented by a code.",Integer,1.0,Code
DE418,1,EColorectalSurgeryMethodCode,Episode,,Integer,1.0,Code
DE310,1,EColorectalSurgeryMethodCodeNotification,Episode,"The method of surgery performed, as represented by a code.",Integer,1.0,Code
DE419,1,EComplicationFollowingSurgeryCode,Episode,,Integer,1.0,Code
DE314,1,EComplicationFollowingSurgeryCodeNotification,Episode,"The type of complication following surgery for colorectal cancer, as represented by a code.",Integer,1.0,Code
DE420,1,ECycle  ,Episode,,Integer,1.0,Numeric value
DE113,1,ECycleNotification,Episode,,Integer,1.0,Numeric Value
DE537,1,EDegreeOfSpreadID,Episode,"A measure of the progression/extent of cancer at this episode of care, as represented by a code.",Integer,1.0,Code
DE150,1,EDegreeOfSpreadIDNotification,Episode,"A measure of the progression/extent of cancer at this episode of care, as represented by a code.",Integer,1.0,Code
DE327,1,EDistanceFromCarcenomaResectionMarginNotification,Episode,"The distance of carcinoma from the surgical resection margin, in millimetres.",Float,1.0,Numeric Value (NNN.NN)
DE558,1,EDosePercentage,Episode,,,,
DE2,1,EDoseUnit,Episode,,,,
DE20,1,EEndDate  ,Episode,Date on which an admitted patient completes an episode of care.,Date,1.0,DDMMYYYY
DE207,1,EEndDateNotification,Episode,Date on which an admitted patient completes an episode of care.,Date,1.0,DDMMYYYY. If Unknown set to '01/01/9999'.
DE5,1,EInitialTreatmentFlag,Episode,"An indicator of whether treatment for cancer was administered during the initial course of treatment, or following the initial course due to disease progression and recurrence, as represented by a code.",Boolean,1.0,Check - Yes; Uncheck - No
DE202,1,EInitialTreatmentFlagNotification,Episode,"An indicator of whether treatment for cancer was administered during the initial course of treatment, or following the initial course due to disease progression and recurrence, as represented by a code.",Boolean,1.0,Check - Yes; Uncheck - No
